CIDR,ASN,Hits
102.215.56.0/23,14593,2420
102.215.58.0/24,14593,2420
102.215.59.0/24,14593,2420
103.152.126.0/24,14593,2634
103.152.127.0/24,14593,1542
103.235.92.0/24,14593,2632
103.235.93.0/24,14593,1767
103.235.94.0/23,14593,1767
116.91.208.0/23,14593,1428
116.91.210.0/23,14593,2597
116.91.212.0/23,14593,2605
116.91.214.0/24,14593,2609
129.222.0.0/23,14593,1397
129.222.100.0/22,14593,1423
129.222.104.0/24,14593,1458
129.222.105.0/24,14593,1424
129.222.106.0/24,14593,1459
129.222.107.0/24,14593,1396
129.222.108.0/23,14593,1459
129.222.110.0/23,14593,1457
129.222.112.0/22,14593,1411
129.222.116.0/24,14593,1459
129.222.117.0/24,14593,1442
129.222.118.0/23,14593,1396
129.222.120.0/21,14593,1403
129.222.128.0/21,14593,1412
129.222.136.0/21,14593,1401
129.222.144.0/23,14593,2420
129.222.146.0/23,14593,1459
129.222.148.0/23,14593,2428
129.222.150.0/23,14593,1418
129.222.152.0/21,14593,1412
129.222.16.0/21,14593,1401
129.222.160.0/23,14593,1401
129.222.162.0/23,14593,1402
129.222.164.0/24,14593,1459
129.222.165.0/24,14593,1396
129.222.166.0/23,14593,1418
129.222.168.0/21,14593,1457
129.222.176.0/21,14593,1464
129.222.184.0/23,14593,1400
129.222.186.0/23,14593,1396
129.222.188.0/23,14593,1442
129.222.190.0/23,14593,1442
129.222.192.0/21,14593,1417
129.222.2.0/23,14593,1400
129.222.200.0/23,14593,1396
129.222.202.0/23,14593,1461
129.222.204.0/22,14593,2419
129.222.208.0/22,14593,1418
129.222.212.0/23,14593,2428
129.222.214.0/23,14593,1457
129.222.224.0/21,14593,1418
129.222.232.0/21,14593,1418
129.222.24.0/21,14593,1401
129.222.240.0/21,14593,1418
129.222.248.0/21,14593,1395
129.222.32.0/21,14593,1394
129.222.4.0/22,14593,1400
129.222.40.0/21,14593,1412
129.222.48.0/21,14593,1397
129.222.56.0/24,14593,1397
129.222.57.0/24,14593,1397
129.222.58.0/23,14593,1397
129.222.60.0/23,14593,1396
129.222.62.0/23,14593,1396
129.222.64.0/23,14593,1457
129.222.66.0/23,14593,6
129.222.66.0/24,14593,2570
129.222.67.0/24,14593,1402
129.222.68.0/24,14593,1397
129.222.69.0/24,14593,1441
129.222.70.0/23,14593,1458
129.222.72.0/21,14593,1402
129.222.8.0/21,14593,1401
129.222.80.0/21,14593,1395
129.222.88.0/23,14593,1396
129.222.90.0/23,14593,1457
129.222.92.0/24,14593,1400
129.222.93.0/24,14593,1403
129.222.94.0/24,14593,1418
129.222.95.0/24,14593,2426
129.222.96.0/23,14593,1411
129.222.98.0/23,14593,1417
129.224.192.0/21,14593,1403
129.224.200.0/24,14593,1397
129.224.201.0/24,14593,2420
129.224.202.0/24,14593,2420
129.224.204.0/24,14593,2420
129.224.205.0/24,14593,2420
129.224.206.0/24,14593,1433
129.224.207.0/24,14593,1433
129.224.208.0/24,14593,1418
129.224.216.0/24,14593,1427
129.224.217.0/24,14593,1417
129.224.219.0/24,14593,1391
129.224.220.0/24,14593,1391
129.224.223.0/24,14593,1398
135.129.10.0/24,14593,1511
135.129.11.0/24,14593,1513
135.129.112.0/23,14593,1418
135.129.114.0/24,14593,1457
135.129.115.0/24,14593,1431
135.129.116.0/24,14593,1402
135.129.117.0/24,14593,1421
135.129.118.0/23,14593,1396
135.129.12.0/24,14593,1511
135.129.120.0/23,14593,1459
135.129.122.0/24,14593,1415
135.129.123.0/24,14593,1421
135.129.124.0/23,14593,1459
135.129.127.0/24,14593,1459
135.129.13.0/24,14593,1512
135.129.14.0/24,14593,1514
